DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
ARG;BOG;4200;462;1934399
ARG;BOG;355;304;1274945
ARG;BOG;3240;670;2848530
ARG;BOG;179;17467;75018283
ARG;BOG;896800;44815;187408242
ARG;BOG;60000;5152;21746913
ARG;BOG;69;3284;13313440
ARG;BOG;155;11082;44922795
ARG;BOG;2024;1463557;6197042738
AUS;BOG;216960;38244;161422463
AUS;BOG;19600;5467;23042656
AUS;BOG;22000;2200;9288598
AUS;BOG;8100;4860;20560765
AUS;BOG;335;223;942708
AUS;BOG;1500;315;1329958
AUS;BOG;5400;1134;4787850
AUS;BOG;7150;2431;10663970
AUS;BOG;33600;5880;23877680
AUS;BOG;16850;3370;14783044
AUS;BOG;60770;11638;47178875
AUS;BOG;2988;3002;13170508
AUS;BOG;40;84;368479
AUS;BOG;367;10111;42772880
AUS;BOG;189;1393;5911295
AUS;BOG;149;1941;8222110
AUS;BOG;208;6935;29349317
AUS;BOG;2791;63011;266799589
AUS;BOG;254;3850;16768331
AUS;BOG;704;18135;75409223
AUS;BOG;3750;65651;276585353
AUS;BOG;150;1714;7201422
AUS;BOG;293;23040;101068646
AUS;BOG;20800;7688;32689005
AUS;BOG;4450;801;3386139
AUS;BOG;35675;8596;36289179
AUS;BOG;640;896;3782365
AUS;BOG;630;1114;4700940
AUS;BOG;1725;2987;12610347
AUS;BOG;20700;2958;12486872
AUS;BOG;2400;504;2127581
AUS;BOG;1340;1131;4772704
AUS;BOG;48;532;2245779
AUS;BOG;216308;52742;222879777
AUS;BOG;28500;5890;24866098
AUS;BOG;45000;8855;36791994
AUS;BOG;1620;821;3490115
AUS;BOG;5670;1796;7635903
AUS;BOG;92;1325;5581562
AUS;BOG;20775;4729;20014696
AUS;BOG;107;697;3038502
AUS;BOG;7750;1472;6261203
AUS;BOG;450;292;1228948
AUS;BOG;100;363987;1525817517
AUS;BOG;744;18678;79361420
AUT;BOG;12480;2122;9014678
AUT;BOG;19152;3701;15736815
AUT;BOG;72240;10598;45031752
AUT;BOG;520;99;421501
AUT;BOG;22890;4132;17558568
AUT;BOG;28960;4614;19604114
AUT;BOG;97860;15101;64154491
AUT;BOG;240;48;203952
AUT;BOG;16270;2975;12639925
AUT;BOG;175;3463;14715349
AZE;BOG;9140;5971;25304195
AZE;BOG;10450;1816;7667967
BHS;BOG;124;9270;39394259
BHS;BOG;927;10979;46656249
BHS;BOG;1911;35462;150704788
BHS;BOG;96;3252;13822097
BHR;BOG;220;83;351719
BHR;BOG;3612;2210;9311310
BHR;BOG;3455;2051;8625855
BHR;BOG;1010;215;941377
BHR;BOG;174;458;1927219
BHR;BOG;18000;4410;18751717
BHR;BOG;18700;2949;11954538
BHR;BOG;11850;1422;5764447
BHR;BOG;54;54;227552
BHR;BOG;3400;1022;4302306
BHR;BOG;10625;2656;11213067
BHR;BOG;101225;16090;66993837
BHR;BOG;750;90;376831
BHR;BOG;2600;520;2177245
BHR;BOG;2920;808;3381429
BHR;BOG;192;2429;10170289
BRB;BOG;26600;4567;19189774
BRB;BOG;27000;998;4191194
BRB;BOG;30000;871;3658524
BRB;BOG;21000;1794;7537545
BRB;BOG;280;5325;22480801
BRB;BOG;105;3960;16319427
BRB;BOG;431;18254;75218622
BRB;BOG;959;12246;50462431
BRB;BOG;36;2741;11294867
BRB;BOG;723;7674;31622462
BEL;BOG;207;1223;5121006
BEL;BOG;350;1418;5935087
BEL;BOG;1400;7524;31974818
BEL;BOG;1160;8700;36959225
BEL;BOG;756;3994;16594747
BEL;BOG;348;59676;251958244
BLZ;BOG;515;10564;44740422
BLZ;BOG;247;12482;54412590
BLR;BOG;32458;32523;137487912
BLR;BOG;72650;25065;103804860
BLR;BOG;39500;7804;32317649
BLR;BOG;66500;22300;92355711
BLR;BOG;85600;16432;68052102
BLR;BOG;7950;2764;11444842
BLR;BOG;10000;1900;7868717
BLR;BOG;104;274;1201945
BLR;BOG;12850;4496;18617799
BLR;BOG;6400;1212;5019413
BLR;BOG;1600;598;2478232
BLR;BOG;400;51;207914
BLR;BOG;11225;3633;15438984
BLR;BOG;7850;1013;4304744
BLR;BOG;25350;2892;12290799
BLR;BOG;12000;1632;6877199
BOL;BOG;164;647;2730468
BOL;BOG;683;2658;11223160
BOL;BOG;160;1248;5269168
BOL;BOG;860;2944;12430677
BOL;BOG;253;963;4064944
BOL;BOG;340;2556;10791662
BOL;BOG;643;15367;65295785
BOL;BOG;170;5910;25112865
BOL;BOG;172;26660;109855729
BOL;BOG;89;408;1682408
BOL;BOG;102;373;1536909
BOL;BOG;198;757;3118732
BOL;BOG;66;151;622790
BOL;BOG;132;553;2278291
BOL;BOG;1666;4560;19254208
BOL;BOG;204;530;2239397
BOL;BOG;19;502;2118391
BOL;BOG;38;178;756550
BOL;BOG;65;420;1779893
BOL;BOG;39;138;586826
BOL;BOG;239;752;3189226
BOL;BOG;245;704;2983260
BOL;BOG;101;577;2447130
BOL;BOG;266;879;3724593
BOL;BOG;11;103;435499
BOL;BOG;74;303;1282930
BOL;BOG;59;594;2518386
BOL;BOG;85400;12943;53333185
BOL;BOG;58404;10426;42963397
BOL;BOG;320;713;3069075
BOL;BOG;1535;3484;15022028
BOL;BOG;298;621;2718571
BOL;BOG;903;2445;10301429
BOL;BOG;651;1218;5174077
BOL;BOG;165;310;1335168
BOL;BOG;397;37376;163274174
BOL;BOG;1049;142869;580010829
BOL;BOG;135;15572;64167860
BOL;BOG;1730;90465;368271431
BOL;BOG;44;2191;8882802
BOL;BOG;853;20666;83896974
BOL;BOG;147;5342;22677212
BOL;BOG;71;3407;14449279
BOL;BOG;77;20232;82016483
BOL;BOG;2132;48127;203198045
BOL;BOG;2817;99775;419625841
BOL;BOG;1649;79751;334247953
BOL;BOG;2210;83295;350297250
BOL;BOG;970;6528;27619453
BOL;BOG;95;495;2006409
BOL;BOG;98;425;1724105
BOL;BOG;2177;5506;22321016
BOL;BOG;363;1137;4609287
BOL;BOG;176;707;2864184
BOL;BOG;1867;4380;17779018
BOL;BOG;504;2108;8546745
BOL;BOG;244;1621;6571794
BOL;BOG;126;254;1029209
BOL;BOG;289;1171;5064944
BOL;BOG;812;1958;8575352
BOL;BOG;236;1152;5046474
BOL;BOG;825;1903;8277937
BOL;BOG;532;2168;9474631
BOL;BOG;314;2318;10144503
BOL;BOG;178;1433;6169137
BOL;BOG;218;1249;5260852
BOL;BOG;46;211;920803
BOL;BOG;151;7852;34230009
BOL;BOG;222;3710;15365451
BOL;BOG;383;7323;30328686
BOL;BOG;337;794;3376159
BOL;BOG;586;7148;29463746
BOL;BOG;157;4021;17083444
BOL;BOG;53;5077;21093633
BOL;BOG;312;1978;8151905
BOL;BOG;2180;17200;73558925
BOL;BOG;152;6496;27887764
BOL;BOG;143;3951;16741927
BOL;BOG;976;12328;52877558
BOL;BOG;262;935;3951634
BOL;BOG;115;534;2342301
BOL;BOG;827;11529;48807858
BOL;BOG;411;10848;46171146
BOL;BOG;173;728;3145683
BOL;BOG;5267;383;1620697
BOL;BOG;229;536;2261351
BOL;BOG;1201;2856;12056178
BOL;BOG;478;1640;6926254
BOL;BOG;274;635;2681407
BOL;BOG;23;218;920416
BOL;BOG;248;2469;10425733
BOL;BOG;58;165;697827
BOL;BOG;97;437;1844716
BOL;BOG;201;1217;5174732
BOL;BOG;420;2526;11080747
BOL;BOG;1337;28236;119974764
BOL;BOG;514;4458;19326932
BOL;BOG;153;737;3140334
BOL;BOG;737;6235;27352536
BOL;BOG;217;6462;27338836
BOL;BUN;7879;81188;350235101
BOL;BUN;199;8332;35527766
BOL;BUN;177;6599;28053368
BOL;BUN;3649;14646;63833653
BOL;BUN;659;2289;9618773
BOL;BUN;146;825;3620749
BOL;BUN;764;9093;38207454
BOL;BUN;1097;11691;49903399
BOL;BUN;422;1439;6311044
BOL;BUN;510;9153;38619963
BOL;BUN;953;3987;17142411
BOL;BUN;62;44;183691
BRA;BOG;13500;3206;13211120
BRA;BOG;45925;19946;87496320
BRA;BOG;3600;396;1737117
BRA;BOG;25375;7196;30573680
BRA;BOG;24000;2688;11254683
BRA;BOG;23400;2117;8944178
BRA;BOG;2067;25538;108141273
BRA;BOG;1323;42744;176132894
BRA;BOG;77280;6970;29429909
BRA;BOG;2814;12295;51976732
BRA;BOG;294;803;3392988
BRA;BOG;3897;15192;64223566
BRA;BOG;4381;14174;59919871
BRA;BOG;1008;1781;7533616
BRA;BOG;1105;4190;16985011
BRA;BOG;8741;58644;237728134
BRA;BOG;5024;28467;121012356
BRA;BOG;9200;1840;7823846
BRA;BOG;3630;12410;52203176
BRA;BOG;83;8029;34137990
BRA;BOG;109;6519;27721331
BRA;BOG;375;12177;51313428
BRA;BOG;2500;1740;7633885
BRA;BOG;1107;26508;116281452
BRA;BOG;2759;47880;202181594
BRA;BOG;19700;6842;28912857
BRA;BOG;1248;6480;28104742
BRA;BOG;2352;10930;47451224
BRA;BOG;3178;16679;72392855
BRA;BOG;1481;41912;180000572
BRA;BOG;4000;15240;64754760
BRA;BOG;17950;5770;24398751
BRA;BOG;1272;5946;25449088
BRA;BOG;3207;12913;54858084
BRA;BOG;1758;8181;35131176
BRA;BOG;734;435559;1878788764
BRA;BOG;430;282391;1146742251
BRA;BOG;464;11;45197
BRA;BOG;669;41;175204
BRA;BOG;330;1914;8099991
BRA;BOG;4180;3309454;14071482740
BRA;BOG;684540;6848;28005483
BRA;BOG;93;39;161660
CAN;BOG;3266;5738;24257821
CAN;BOG;17510;3114;13197659
CAN;BOG;2340;657;2784924
CAN;BOG;7625;3642;15473158
